Variable;Scenario;Region;Value
siggma_e_f;SSP2;JPN;0.66
siggma_e_recycled;SSP2;JPN;0.66
siggma_e_virgin;SSP2;JPN;0.66
siggma_m;SSP2;JPN;0.8
siggma_es_lowcarbon;SSP2;JPN;1.1
siggma_es_cautious;SSP2;JPN;1.1
siggma_es_constrained;SSP2;JPN;1.1
siggma_z;SSP2;JPN;0.4
siggma_e_h;SSP2;JPN;0.66
siggma_sharing;SSP2;JPN;0.5
siggma_ies;SSP2;JPN;1.22
siggma_nes;SSP2;JPN;0.98
siggma_inv_ed;SSP2;JPN;1.5
siggma_dep;SSP2;JPN;1.04669
siggma_dep_lowuse;SSP2;JPN;1.08270769
ac_ik;SSP2;JPN;1.46
ac_id;SSP2;JPN;0.86845
p_capital_norm;SSP2;JPN;1
decay_mu;SSP2;JPN;0.804
decay_indu;SSP2;JPN;0.00001
t_c;SSP2;JPN;0.099
t_k;SSP2;JPN;1.790601235688190E-01
t_l;SSP2;JPN;0.319572567171492
g_c_nondurable;SSP2;JPN;3.206184779287120E-01
g_c_otherdurable;SSP2;JPN;2.047797831580270E-04
g_c_energydurable;SSP2;JPN;1.348385975973180E-05
alppha_n_nondurable;SSP2;JPN;3.705889244410020E-02
alppha_k_nondurable;SSP2;JPN;5.905226921735790E-01
alppha_n_otherdurable;SSP2;JPN;4.265131703145620E-02
alppha_k_otherdurable;SSP2;JPN;4.633347000697700E-01
alppha_n_energydurable;SSP2;JPN;2.515305952923960E-02
alppha_k_energydurable;SSP2;JPN;9.049788621165370E-01
alppha_n_capital;SSP2;JPN;2.511990397367800E-02
alppha_k_capital;SSP2;JPN;9.059481359952050E-01
alppha_n_virgin;SSP2;JPN;3.977841960281520E-02
alppha_k_virgin;SSP2;JPN;5.271527339903720E-01
alppha_n_recycled;SSP2;JPN;2.834530315937830E-02
alppha_k_recycled;SSP2;JPN;8.142778175344610E-01
alppha_n_repair;SSP2;JPN;6.463855078212060E-02
alppha_k_repair;SSP2;JPN;8.097825770777000E-02
alppha_kl_nondurable;SSP2;JPN;0.85934264987235300000
alppha_e_nondurable;SSP2;JPN;0.00016630563820357000
alppha_kl_otherdurable;SSP2;JPN;0.85181254078531400000
alppha_e_otherdurable;SSP2;JPN;0.00011657394411442200
alppha_kl_energydurable;SSP2;JPN;0.92463792616399300000
alppha_e_energydurable;SSP2;JPN;0.00002003734098201190
alppha_kl_capital;SSP2;JPN;0.96158333638894600000
alppha_e_capital;SSP2;JPN;0.00000421430167044134
alppha_kl_virgin;SSP2;JPN;0.45033150250703900000
alppha_e_virgin;SSP2;JPN;0.00745025991652030000
alppha_kl_recycled;SSP2;JPN;0.69053069319273700000
alppha_e_recycled;SSP2;JPN;0.00086743777024986300
alppha_z_nondurable;SSP2;JPN;9.786648031870690E-01
alppha_m_nondurable;SSP2;JPN;5.339867146093510E-07
alppha_z_otherdurable;SSP2;JPN;8.028038880535560E-01
alppha_m_otherdurable;SSP2;JPN;3.851379843629630E-02
alppha_z_energydurable;SSP2;JPN;6.911175072397070E-01
alppha_m_energydurable;SSP2;JPN;4.355608820889260E-01
alppha_z_capital;SSP2;JPN;3.205886401721540E-01
alppha_m_capital;SSP2;JPN;8.422446725108930E+01
